Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
15-033_R1_001_val_1	3.5	46374479	6605005	46374479	6721554175	1397655	6551714783	2.5267875193462976
15-033_R2_001_val_2	3.5	46374479	15147529	46374479	6714104182	2810926	6564017427	2.2353950866948287
15-091_R1_001_val_1	3.5	44028566	7066458	44028566	6144610736	1550889	5924879599	3.5759976740697477
15-091_R2_001_val_2	3.5	44028566	14064506	44028566	6137077006	3107648	5987982107	2.4294122243249556
15-092_R1_001_val_1	3.5	49068698	7071417	49068698	6615678169	1981543	6438356046	2.6803317584416795
15-092_R2_001_val_2	3.5	49068698	14720016	49068698	6607973369	3864788	6448360015	2.4154660602718905
15-152_R1_001_val_1	3.5	32395456	4750977	32395456	4608456419	1068195	4470676043	2.9897293903431836
15-152_R2_001_val_2	3.5	32395456	10116628	32395456	4594416059	4066559	4486882654	2.340523879837849
15-154_R1_001_val_1	3.5	50128301	8011960	50128301	7134577557	1750522	6872678479	3.6708421193493233
15-154_R2_001_val_2	3.5	50128301	16626107	50128301	7125828161	3427930	6950232802	2.464209843861263
15-161_R1_001_val_1	3.5	52307981	8225962	52307981	7270669855	1868594	7021564568	3.4261669415327893
15-161_R2_001_val_2	3.5	52307981	16459473	52307981	7262341818	3795565	7091642436	2.350472977971305
25-046_R1_001_val_1	3.5	43865460	6428165	43865460	6328990978	1380773	6158877779	2.6878407567861125
25-046_R2_001_val_2	3.5	43865460	14354289	43865460	6321052369	2993790	6176982745	2.279203138808863
25-047_R1_001_val_1	3.5	26042719	3687938	26042719	3270161221	879213	3177299880	2.839656357113899
25-047_R2_001_val_2	3.5	26042719	6967128	26042719	3266960325	1932067	3199561916	2.0630311450139818
25-048_R1_001_val_1	3.5	27342459	3893458	27342459	3975249752	1092292	3875930514	2.4984402036634603
25-048_R2_001_val_2	3.5	27342459	9068435	27342459	3968767975	2263810	3881265138	2.2047859071428833
25-049_R1_001_val_1	3.5	38084023	6078156	38084023	5489065118	1241717	5294594100	3.542880505503233
25-049_R2_001_val_2	3.5	38084023	13151294	38084023	5472659761	4496089	5328166765	2.640270038888683
25-050_R1_001_val_1	3.5	52562330	7930130	52562330	7573637695	1597609	7336954270	3.1250956875882085
25-050_R2_001_val_2	3.5	52562330	17326570	52562330	7564096310	3448643	7392425315	2.2695506239528562
25-051_R1_001_val_1	3.5	52285803	6808564	52285803	7186482670	1754274	7037408308	2.0743716898158193
25-051_R2_001_val_2	3.5	52285803	14821182	52285803	7176605204	3862570	7054189451	1.7057612829499043
25-052_R1_001_val_1	3.5	30059929	4620326	30059929	4351214814	1152099	4209442614	3.2582211189355457
25-052_R2_001_val_2	3.5	30059929	10365972	30059929	4345031094	2216296	4233634867	2.563761330818223
25-053_R1_001_val_1	3.5	50603388	7452100	50603388	7155011570	1440824	6964826600	2.6580665613095578
25-053_R2_001_val_2	3.5	50603388	16190653	50603388	7147196675	3300377	6989159413	2.2111783008965538
25-054_R1_001_val_1	3.5	50161131	6957973	50161131	7180969493	1649763	7000634413	2.511291548805359
25-054_R2_001_val_2	3.5	50161131	15293692	50161131	7170854509	3439155	7026439163	2.0139210162296153
25-055_R1_001_val_1	3.5	32069631	4680824	32069631	4696302653	1233007	4556166872	2.9839597520505032
25-055_R2_001_val_2	3.5	32069631	10984828	32069631	4690296728	2151903	4584709647	2.251181260444979
25-056_R1_001_val_1	3.5	33939555	4928411	33939555	4863350468	1065671	4735408646	2.630734158309892
25-056_R2_001_val_2	3.5	33939555	10821987	33939555	4848791982	4228238	4734316030	2.3609169546758255
25-058_R1_001_val_1	3.5	38831671	6309173	38831671	5416959722	1605010	5216703070	3.696845874387692
25-058_R2_001_val_2	3.5	38831671	12774350	38831671	5410503256	3065072	5271436293	2.5703147455974844
25-059_R1_001_val_1	3.5	61961030	8729493	61961030	8599305880	1834767	8369674909	2.6703430975059117
25-059_R2_001_val_2	3.5	61961030	18566374	61961030	8590240859	4483484	8416340149	2.0243985338060004
25-060_R1_001_val_1	3.5	53610688	8453411	53610688	7507110889	2007434	7274908722	3.0930962714330037
25-060_R2_001_val_2	3.5	53610688	17933064	53610688	7498657509	4121320	7306381036	2.564145285595814
25-109_R1_001_val_1	3.5	44428553	6578692	44428553	6238681311	1688337	6056072684	2.9270388708271686
25-109_R2_001_val_2	3.5	44428553	13669049	44428553	6230615689	3299378	6091675707	2.2299558973809788
25-110_R1_001_val_1	3.5	35122072	5727942	35122072	5120402803	1063656	4908434703	4.139676274604992
25-110_R2_001_val_2	3.5	35122072	12715633	35122072	5113264296	2367177	4979914356	2.6079219121201476
25-112_R1_001_val_1	3.5	46584169	6877417	46584169	6855235487	1521228	6655752799	2.909931954610329
25-112_R2_001_val_2	3.5	46584169	16435483	46584169	6844954435	3263373	6689456012	2.2717232740790334
25-113_R1_001_val_1	3.5	31779287	4432487	31779287	4618693817	1052361	4487611363	2.8380849476864123
25-113_R2_001_val_2	3.5	31779287	10295864	31779287	4611717528	2343343	4514024606	2.1183630915566343
25-114_R1_001_val_1	3.5	66650980	10487011	66650980	9731241738	2234205	9431059833	3.084723543839272
25-114_R2_001_val_2	3.5	66650980	23711979	66650980	9720179050	4332838	9483978550	2.430001533768043
25-115_R1_001_val_1	3.5	38536519	5375523	38536519	5520680642	1175082	5387372193	2.4147103888933845
25-115_R2_001_val_2	3.5	38536519	11992878	38536519	5514075099	2480272	5398643445	2.093400106591475
25-116_R1_001_val_1	3.5	43712866	6150028	43712866	6352042920	1404440	6187520862	2.590065276196213
25-116_R2_001_val_2	3.5	43712866	14580194	43712866	6343057047	2933499	6200932105	2.2406379281614557
25-117_R1_001_val_1	3.5	38313594	5385852	38313594	5342263646	1306119	5211454041	2.4485801088821817
25-117_R2_001_val_2	3.5	38313594	12146430	38313594	5334840565	2627895	5219296564	2.165837940088468
25-119_R1_001_val_1	3.5	50501575	8679230	50501575	7448386653	1481804	7154679734	3.943228684049359
25-119_R2_001_val_2	3.5	50501575	20188486	50501575	7437543062	3335386	7213365132	3.0141395906044974
25-120_R1_001_val_1	3.5	55180119	7774171	55180119	7753573393	2037949	7571448401	2.3489168512214533
25-120_R2_001_val_2	3.5	55180119	16525884	55180119	7745757104	3828986	7581792847	2.1168267323452077
25-167_R1_001_val_1	3.5	36902705	5449189	36902705	5244555991	1137686	5083143674	3.0777117696330074
25-167_R2_001_val_2	3.5	36902705	11633738	36902705	5229196053	4486215	5109869749	2.2819244639248564
25-168_R1_001_val_1	3.5	43252629	6413480	43252629	6303519754	1334852	6123709872	2.8525314271585924
25-168_R2_001_val_2	3.5	43252629	14900168	43252629	6295126215	2854032	6149220300	2.317759962498226
25-169_R1_001_val_1	3.5	54117969	7419245	54117969	7143443527	1884742	6972385133	2.3946209325159824
25-169_R2_001_val_2	3.5	54117969	14271622	54117969	7135913836	3623355	7005428586	1.828570986125343
25-170_R1_001_val_1	3.5	49087925	6905178	49087925	7151596483	1715586	6969218218	2.5501755507812813
25-170_R2_001_val_2	3.5	49087925	16353313	49087925	7140967788	3594327	6978681118	2.2726145085364164
25-171_R1_001_val_1	3.5	47048483	7429590	47048483	6938962829	1555895	6681864220	3.705144635240126
25-171_R2_001_val_2	3.5	47048483	17549906	47048483	6928085796	3229008	6748216488	2.596233841443611
25-172_R1_001_val_1	3.5	36651873	5276093	36651873	5230045799	1409732	5096136207	2.5603904276632514
25-172_R2_001_val_2	3.5	36651873	11510134	36651873	5222473162	2873325	5110384253	2.1462802301328514
25-174_R1_001_val_1	3.5	35477422	5446967	35477422	5089648023	1284186	4929648008	3.143636146880171
25-174_R2_001_val_2	3.5	35477422	11916150	35477422	5082843120	2630144	4963125289	2.3553320095387873
25-175_R1_001_val_1	3.5	37185063	5910926	37185063	5438589609	1411559	5226077789	3.90748034468949
25-175_R2_001_val_2	3.5	37185063	13445958	37185063	5430410205	2707746	5281182722	2.7479965116189597
25-177_R1_001_val_1	3.5	43246727	6952341	43246727	6338629536	1492816	6108130734	3.6364138445209804
25-177_R2_001_val_2	3.5	43246727	15981187	43246727	6330411602	2830276	6163865517	2.630888723687133
25-179_R1_001_val_1	3.5	40358113	5923987	40358113	5604447630	1410290	5440290912	2.929043660275937
25-179_R2_001_val_2	3.5	40358113	12489429	40358113	5597557318	3000737	5474475600	2.1988469435445985
25-180_R1_001_val_1	3.5	49142899	7773502	49142899	6671255161	1644733	6416662853	3.816257988276938
25-180_R2_001_val_2	3.5	49142899	15702765	49142899	6663318173	3559988	6497836586	2.483471188131721
25-185_R1_001_val_1	3.5	26515365	3881981	26515365	3852303161	953154	3739517467	2.9277470979392635
25-185_R2_001_val_2	3.5	26515365	8910962	26515365	3846346074	2064940	3760874087	2.222160600102049
25-186_R1_001_val_1	3.5	25383543	3665309	25383543	3680011054	978819	3576126049	2.8229536127909687
25-186_R2_001_val_2	3.5	25383543	8440031	25383543	3674484183	2076842	3593453763	2.2052189086807674
25-193_R1_001_val_1	3.5	26704889	4505632	26704889	3769358177	911820	3642954590	3.353451199498466
25-193_R2_001_val_2	3.5	26704889	9824507	26704889	3765892125	1616254	3660462439	2.79959389436839
25-194_R1_001_val_1	3.5	30361356	4571795	30361356	4361366427	927183	4224629334	3.135189287318279
25-194_R2_001_val_2	3.5	30361356	10030810	30361356	4348336131	3664230	4243933483	2.400979244812664
25-195_R1_001_val_1	3.5	33205632	4930120	33205632	4720074194	1285609	4576161336	3.048953302109895
25-195_R2_001_val_2	3.5	33205632	10502439	33205632	4715112546	2262708	4608854056	2.2535727188557333
25-202_R1_001_val_1	3.5	48430876	8361544	48430876	6733599153	1628732	6438918278	4.376275871258415
25-202_R2_001_val_2	3.5	48430876	16118964	48430876	6726271398	3124237	6543779297	2.7131242586236186
25-203_R1_001_val_1	3.5	35371877	5360447	35371877	5099328205	1168734	4932921265	3.263311034516948
25-203_R2_001_val_2	3.5	35371877	11828821	35371877	5083877887	4342138	4955244709	2.5302176971820725
5-002_R1_001_val_1	3.5	42800093	6990447	42800093	6234677513	1345607	5988371226	3.9505858400281944
5-002_R2_001_val_2	3.5	42800093	15434619	42800093	6226987381	2644644	6065699754	2.590138973014887
5-003_R1_001_val_1	3.5	46172757	7677541	46172757	6601018281	1331244	6345897815	3.864865315315433
5-003_R2_001_val_2	3.5	46172757	15994902	46172757	6594430490	2664727	6432475918	2.4559296249402123
5-004_R1_001_val_1	3.5	51199931	8050220	51199931	7172387984	1697503	6953206668	3.0559043443961023
5-004_R2_001_val_2	3.5	51199931	16430740	51199931	7164515651	3411737	6986005332	2.4915894904226232
